Customer,Labor Tax Code,Email,Mailing Address,Mailing City,Mailing State,Mailing ZIP Code,Customer ID,Part Tax Code,Contract Customer
IRON MOUNTAIN MECHANICAL,NNJ Non-Taxable Sales New Jersey (0%),,132 MT PLEASANT RD,COLUMBIA,NJ,7832,330,NNJ Non-Taxable Sales New Jersey (0%),No
IRVINGTON BOARD OF EDUCATION (ESCNJ),NNJ Non-Taxable Sales New Jersey (0%),,"1 UNIVERSITY PLACE, 4TH FLOOR",IRVINGTON,NJ,7111,796,NNJ Non-Taxable Sales New Jersey (0%),No
ISLAMIC CENTER OF LONG ISLAND,NNY NON-TAXABLE NY (0%),,835 BRUSH HOLLOW ROAD,WESTBURY,NY,11590,331,NNY NON-TAXABLE NY (0%),No
ISLAND PARK UFSD (ED-DATA),NNY NON-TAXABLE NY (0%),,99 RADCLIFFE ROAD,ISLAND PARK,NY,11558,333,NNY NON-TAXABLE NY (0%),No
ISUS A JOINT VENTURE,TNJ NJ SALES TAX (6.625%),,76 SOUTH ORANGE AVENUE,SOUTH ORANGE,NJ,7079,334,TNJ NJ SALES TAX (6.625%),No
JACKIE ROBINSON FOUNDATION,NNY NON-TAXABLE NY (0%),,75 VARICK STREET,NEW YORK,NY,10013,733,NNY NON-TAXABLE NY (0%),Yes
JACK RESNICK & SONS,TNYC NYC SALES TAX (8.875%),,110 EAST 59TH STREET,NEW YORK,NY,10022,340,TNYC NYC SALES TAX (8.875%),No
Jaco Mechanical Inc.,,jacomechanical@gmail.com,2980 Bruckner Boulevard,Bronx,NY,10465,925,,No
JAIN CENTER OF NEW JERSEY,,,111 Cedar Grove Lane,Somerset,NJ,8873,956,,
"JAM SERVICE CO., INC.",,,125-06 18th Avenue,New York,NY,11356,871,,No
JDDC ELEMENTAL LLC,TNYC NYC SALES TAX (8.875%),,431 W 31st Street,New York,NY,10001,866,TNYC NYC SALES TAX (8.875%),No
"JDP MECHANICAL, INC.",NNY NON-TAXABLE NY (0%),,24-39 44TH STREET,ASTORIA,NY,11103,1018,NNY NON-TAXABLE NY (0%),
JEFFERSON TOWNSHIP B.O.E. (ESCNJ),NNJ Non-Taxable Sales New Jersey (0%),,31 STATE ROUTE 181,LAKE HOPATCONG,NJ,7849,346,NNJ Non-Taxable Sales New Jersey (0%),No
JERSEY MECHANICAL,NNJ Non-Taxable Sales New Jersey (0%),,5006 INDUSTRIAL ROAD,FARMINGDALE,NJ,7727,347,NNJ Non-Taxable Sales New Jersey (0%),No
J&J WORLDWIDE SERVICES,NNY NON-TAXABLE NY (0%),,"730 COOL SPRINGS BOULEVARD, SUITE 650",FRANKLIN,TN,37067,894,NNY NON-TAXABLE NY (0%),
JLL/41 FLATBUSH,TNYC NYC SALES TAX (8.875%),,41 FLATBUSH AVENUE,BROOKLYN,NY,11217,1046,TNYC NYC SALES TAX (8.875%),
JLL/545 LONG WHARF,NCT NON-TAXABLE CT (0%),,545 LONG WHARF,NEW HAVEN,CT,6510,348,NCT NON-TAXABLE CT (0%),No
JLL/BMW,,,C/O MAILSTOP# 48638-34520746,PORTLAND,OR,97208-4817,349,,Yes
JLL/CAPITAL ONE,,,15000 CAPITAL ONE DRIVE,RICHMOND,VA,23238,350,,Yes
J&M HEATING AND AC INC,NNY NON-TAXABLE NY (0%),,395 ADAMS STREET,BEDFORD HILLS,NY,10507,335,NNY NON-TAXABLE NY (0%),No
"Johnson Controls, Inc.",,,,,,,1058,,
JOINT BASE MCGUIRE-DIX-LAKEHURST,NNJ Non-Taxable Sales New Jersey (0%),,3104 TUSKEGEE AIRMEN AVE,MCGUIRE AFB,NJ,08641-5119,989,NNJ Non-Taxable Sales New Jersey (0%),
JONES LANG LASALLE,TNJ NJ SALES TAX (6.625%),,400 ATRIUM DRIVE,SOMERSET,NJ,8873,353,TNJ NJ SALES TAX (6.625%),No
JOSEPH M. SANZARI INC.,NNJ Non-Taxable Sales New Jersey (0%),,100 WEST FRANKLIN STREET,HACKENSACK,NJ,7601,354,NNJ Non-Taxable Sales New Jersey (0%),No
"JRM CONSTRUCTION MANAGEMENT, LLC",TNYC NYC SALES TAX (8.875%),,242 WEST 36TH ST.,NEW YORK,NY,10018,355,TNYC NYC SALES TAX (8.875%),No
JT&T AIR CONDITIONING CORP,NNY NON-TAXABLE NY (0%),,64-54 MAURICE AVENUE,MASPETH,NY,11378,356,NNY NON-TAXABLE NY (0%),No
J.W. POOLE INC.,NNJ Non-Taxable Sales New Jersey (0%),,PO BOX 1237,Hightstown,NJ,8520,901,NNJ Non-Taxable Sales New Jersey (0%),No
KABACK ENTERPRISES,NNY NON-TAXABLE NY (0%),,318 WEST 39TH STREET,NEW YORK,NY,10018,359,NNY NON-TAXABLE NY (0%),No
KAPPA CONSTRUCTION,NNJ Non-Taxable Sales New Jersey (0%),,22 MERIDIAN RD,EATONTOWN,NJ,7727,360,NNJ Non-Taxable Sales New Jersey (0%),No
KASER MECHANICAL,NNJ Non-Taxable Sales New Jersey (0%),,1150 EAST BROAD STREET,BURLINGTON,NJ,8016,361,NNJ Non-Taxable Sales New Jersey (0%),No
"K&D CONTRACTORS, LLC",NNJ Non-Taxable Sales New Jersey (0%),,351 MONROE AVENUE,KENILWORTH,NJ,7033,358,NNJ Non-Taxable Sales New Jersey (0%),No
"KEN & DANA DESIGN, INC.",TNYC NYC SALES TAX (8.875%),,243 WEST 30TH STREET,NEW YORK,NY,10001,787,TNYC NYC SALES TAX (8.875%),No
KERI ENGINEERING PC,NNJ Non-Taxable Sales New Jersey (0%),,"911 Springfield Road
Suite 2",Union,NJ,7083,809,NNJ Non-Taxable Sales New Jersey (0%),No
KEYPORT PUBLIC SCHOOLS (ESCNJ),NNJ Non-Taxable Sales New Jersey (0%),,370 BROAD STREET,KEYPORT,NJ,7735,364,NNJ Non-Taxable Sales New Jersey (0%),No
Kimpton Hotel Palomar Philadelphia,,,,,,,1053,,
"KING STREET CAPITAL MANAGEMENT, L.P.",TNYC NYC SALES TAX (8.875%),,"299 PARK AVE., FLOOR 40",NEW YORK,NY,10171,368,TNYC NYC SALES TAX (8.875%),No
KNOWLTON TOWNSHIP BOARD OF EDUCATION,NNJ Non-Taxable Sales New Jersey (0%),,80 ROUTE 46,DELAWARE,NJ,7833,941,NNJ Non-Taxable Sales New Jersey (0%),No
LAFAYETTE TOWNSHIP BOARD OF EDUCATION,NNJ Non-Taxable Sales New Jersey (0%),,178 BEAVER RUN ROAD,LAFAYETTE,NJ,7848,942,NNJ Non-Taxable Sales New Jersey (0%),No
LAKELAND BOARD OF EDUCATION,NNJ Non-Taxable Sales New Jersey (0%),,205 CONKLINTOWN ROAD,WANAQUE,NJ,07465-2198,375,NNJ Non-Taxable Sales New Jersey (0%),No
LAKELAND BOARD OF EDUCATION (ESCNJ),NNJ Non-Taxable Sales New Jersey (0%),,205 CONKLINTOWN ROAD,WANAQUE,NJ,07465-2198,927,NNJ Non-Taxable Sales New Jersey (0%),Yes
"LANDMARK CONDO C/O ARGO REAL ESTATE, LLC",TNYC NYC SALES TAX (8.875%),,215 Degraw Street,BROOKLYN,NY,11231,376,TNYC NYC SALES TAX (8.875%),No
LANE ASSOCIATES,NNY NON-TAXABLE NY (0%),,3916 LONG BEACH ROAD,ISLAND PARK,NY,11558,377,NNY NON-TAXABLE NY (0%),No
"LB&B ASSOCIATES, INC",NNY NON-TAXABLE NY (0%),,P.O. BOX 2384,HOLTSVILLE,NY,11742-0906,765,NNY NON-TAXABLE NY (0%),Yes
LEBANON BOARD OF EDUCATION (ESCNJ),NNJ Non-Taxable Sales New Jersey (0%),,70 BUNNVALE ROAD,CALIFON,NJ,7830,877,NNJ Non-Taxable Sales New Jersey (0%),Yes
LENAPE REGIONAL HIGH SCHOOL DISTRICT,NNJ Non-Taxable Sales New Jersey (0%),,93 WILLOW GROVE ROAD,SHAMONG,NJ,8088,380,NNJ Non-Taxable Sales New Jersey (0%),No
LENAPE REGIONAL HS DISTRICT (ESCNJ),NNJ Non-Taxable Sales New Jersey (0%),,93 WILLOW GROVE ROAD,SHAMONG,NJ,8088,382,NNJ Non-Taxable Sales New Jersey (0%),No
"L G B MECHANICAL, INC.",NNJ Non-Taxable Sales New Jersey (0%),,555 NORTH ROUTE 73,WEST BERLIN,NJ,8091,369,NNJ Non-Taxable Sales New Jersey (0%),No
LIBERTY MECHANICAL CONTRACTORS,NNJ Non-Taxable Sales New Jersey (0%),,330-336 RAYMOND BLVD.,NEWARK,NJ,7105,383,NNJ Non-Taxable Sales New Jersey (0%),No
LIFE TIME,TNYC NYC SALES TAX (8.875%),,18 6TH AVE,BROOKLYN,NY,11217,1034,TNYC NYC SALES TAX (8.875%),
LINCOLN CENTER FOR THE PERFORMING ARTS,NNY NON-TAXABLE NY (0%),,70 LINCOLN CENTER PLAZA,NEW YORK,NY,10023,385,NNY NON-TAXABLE NY (0%),Yes
LINCOLN MORRISTOWN C/O LINQUE MGT,TNJ NJ SALES TAX (6.625%),,C/O LINQUE MANAGEMENT,MORRISTOWN,NJ,7960,386,TNJ NJ SALES TAX (6.625%),No
LITTLE FALLS SCHOOL DISTRICT (ESCNJ),NNJ Non-Taxable Sales New Jersey (0%),,32 STEVENS AVE.,LITTLE FALLS,NJ,7424,389,NNJ Non-Taxable Sales New Jersey (0%),No
L&M HEATING AND COOLING LLC.,NNJ Non-Taxable Sales New Jersey (0%),,33 OXFORD ROAD,MANALAPAN,NJ,7726,370,NNJ Non-Taxable Sales New Jersey (0%),No
LODI B.O.E. (ESCNJ),NNJ Non-Taxable Sales New Jersey (0%),,8 HUNTER STREET,LODI,NJ,7644,390,NNJ Non-Taxable Sales New Jersey (0%),Yes
"LTF CONSTRUCTION COMPANY, LLC",NNY NON-TAXABLE NY (0%),,2900 CORPORATE PLACE,CHANHASSEN,MN,55317,828,NNY NON-TAXABLE NY (0%),
LYNDHURST BOARD OF EDUCATION,NNJ Non-Taxable Sales New Jersey (0%),,420 FERN AVE.,LYNDHURST,NJ,7071,394,NNJ Non-Taxable Sales New Jersey (0%),No
"LYNMARK CONSTRUCTION MANAGEMENT CO., INC.",NNY NON-TAXABLE NY (0%),,"4 EXECUTIVE BLVD, SUITE 200",SUFFERN,NY,10901,395,NNY NON-TAXABLE NY (0%),No
MACK-CALI REALTY CORPORATION,TNJ NJ SALES TAX (6.625%),,C/O MACK-CALI REALTY A/P DEPT,EDISON,NJ,08818-7810,399,TNJ NJ SALES TAX (6.625%),No
MADISON BOARD OF EDUCATION (ESCNJ),NNJ Non-Taxable Sales New Jersey (0%),,359 WOODLAND ROAD,MADISON,NJ,7940,783,NNJ Non-Taxable Sales New Jersey (0%),No
MADISON MEDICAL PRACTICE PC,NNY NON-TAXABLE NY (0%),,35 WEST 36TH ST. 4W,NEW YORK,NY,10018,400,NNY NON-TAXABLE NY (0%),No
"MAGIC TOUCH CONSTRUCTION CO, INC.",NNJ Non-Taxable Sales New Jersey (0%),,59 WEST FRONT STREET,KEYPORT,NJ,7735,401,NNJ Non-Taxable Sales New Jersey (0%),No
MAHWAH TOWNSHIP B.O.E. (ESCNJ),NNJ Non-Taxable Sales New Jersey (0%),,ADMINISTRATIVE OFFICES,MAHWAH,NJ,7430,402,NNJ Non-Taxable Sales New Jersey (0%),No
MAJOR LEAGUE BASEBALL,,,1271 AVENUE OF THE AMERICAS,NEW YORK,NY,10019,896,,No
MANA WINE STORAGE,TNJ NJ SALES TAX (6.625%),,227 COLES STREET,JERSEY CITY,NJ,7310,404,TNJ NJ SALES TAX (6.625%),No
"MANHATTAN MECHANICAL CONTRACTORS, INC.",NNY NON-TAXABLE NY (0%),,227 WEST 29TH STREET,NEW YORK,NY,10001,405,NNY NON-TAXABLE NY (0%),No
MANSFIELD TOWNSHIP B.O.E. (ESCNJ),NNJ Non-Taxable Sales New Jersey (0%),,50 PORT MURRAY ROAD,PORT MURRAY,NJ,7865,406,NNJ Non-Taxable Sales New Jersey (0%),No
MANVILLE BOARD OF EDUCATION (ESCNJ),NNJ Non-Taxable Sales New Jersey (0%),,1100 BROOKS BOULEVARD,MANVILLE,NJ,8835,750,NNJ Non-Taxable Sales New Jersey (0%),No
MARGARITAVILLE HOTEL & RETAIL,TNYC NYC SALES TAX (8.875%),,560 SEVENTH AVE,NEW YORK,NY,10018,408,TNYC NYC SALES TAX (8.875%),No
MARION P. THOMAS CHARTER SCHOOL,NNJ Non-Taxable Sales New Jersey (0%),JARCE@MPtCS.ORG,125 SUSSEX AVENUE,NEWARK,NJ,7103,748,NNJ Non-Taxable Sales New Jersey (0%),No
"MARK ANTHONY BREWING, INC",TNJ NJ SALES TAX (6.625%),,145 SOUTH WELLS STREET,CHICAGO,IL,60603,772,TNJ NJ SALES TAX (6.625%),
MARLBORO TOWNSHIP B.O.E. (ESCNJ),NNJ Non-Taxable Sales New Jersey (0%),,1980 TOWNSHIP DRIVE,MARLBORO,NJ,7746,410,NNJ Non-Taxable Sales New Jersey (0%),No
"MARTIN ASSOCIATES, INC.",NNY NON-TAXABLE NY (0%),,417 SOUTH MAIN STREET,FREEPORT,NY,11520,412,NNY NON-TAXABLE NY (0%),No
MASONIC CARE NEW ROCHELLE,TNYC NYC SALES TAX (8.875%),,71 WEST 23RD STREET,NEW YORK,NY,10010,414,TNYC NYC SALES TAX (8.875%),Yes
MATAWAN-ABERDEEN REG SD (ESCNJ),NNJ Non-Taxable Sales New Jersey (0%),,1 CREST WAY,ABERDEEN,NJ,7747,416,NNJ Non-Taxable Sales New Jersey (0%),No
MAXWELL PLACE CONDO ASSOCIATION,TNJ NJ SALES TAX (6.625%),,1100 MAXWELL LANE,HOBOKEN,NJ,7030,417,TNJ NJ SALES TAX (6.625%),No
MCCANN WORLDGROUP,TNYC NYC SALES TAX (8.875%),,622 THIRD AVE,NEW YORK,NY,10017,923,TNYC NYC SALES TAX (8.875%),No
MCCLOSKEY MECHANICAL,NNJ Non-Taxable Sales New Jersey (0%),,445 LOWER LANDING RD,BLACKWOOD,NJ,8012,419,NNJ Non-Taxable Sales New Jersey (0%),No
MEADOWS LANDMARK LLC,TNJ NJ SALES TAX (6.625%),,201 STATE ROUTE 17 NORTH,RUTHERFORD,NJ,7070,421,TNJ NJ SALES TAX (6.625%),Yes
"MECHANICAL PRESERVATION ASSOCIATES, INC.",NNJ Non-Taxable Sales New Jersey (0%),,399 ROYCE ROAD,HILLSBOROUGH,NJ,8844,423,NNJ Non-Taxable Sales New Jersey (0%),No
"MEGA CONTRACTING GROUP, LLC",NNY NON-TAXABLE NY (0%),,"48-02 25TH AVENUE, SUITE 400",ASTORIA,NY,11103,768,NNY NON-TAXABLE NY (0%),No
MEMORIAL SLOAN KETTERING,NNJ Non-Taxable Sales New Jersey (0%),,136 MOUNTAINVIEW BLVD.,BASKING RIDGE,NJ,7920,426,NNJ Non-Taxable Sales New Jersey (0%),Yes
MENDHAM TOWNSHIP BOE (ESCNJ),NNJ Non-Taxable Sales New Jersey (0%),,"6 EAST MAIN ST, P.O. BOX 510",BROOKSIDE,NJ,7926,969,NNJ Non-Taxable Sales New Jersey (0%),
MENGLER MECHANICAL,NNY NON-TAXABLE NY (0%),,1689 ROUTE 22,BREWSTER,NY,10509,838,NNY NON-TAXABLE NY (0%),No
MERCER COUNTY COMMUNITY COLLEGE,,,,,,,1022,,
"MERIDIAN MECHANICAL, INC.",NNY NON-TAXABLE NY (0%),,405 RXR PLAZA,UNIONDALE,NY,11553,428,NNY NON-TAXABLE NY (0%),No
"MERIDIAN PROPERTY SERVICES, INC.",TNJ NJ SALES TAX (6.625%),,3024 SOUTH BROAD STREET,HAMILTON,NJ,8610,429,TNJ NJ SALES TAX (6.625%),No
"META SURGICAL ASSOCIATES, LLC",NNJ Non-Taxable Sales New Jersey (0%),,6 CHESTNUT RIDGE ROAD,MONTVALE,NJ,7645,430,NNJ Non-Taxable Sales New Jersey (0%),No
"MIAMI INTERNATIONAL HOLDINGS, INC.",TNJ NJ SALES TAX (6.625%),,"7 ROSZEL ROAD, SUITE A",PRINCETON,NJ,8540,431,TNJ NJ SALES TAX (6.625%),No
MIDDLESEX BOARD OF EDUCATION (ESCNJ),NNJ Non-Taxable Sales New Jersey (0%),,300 JOHN F. KENNEDY DR,MIDDLESEX,NJ,8846,799,NNJ Non-Taxable Sales New Jersey (0%),No
MIDDLETOWN TOWNSHIP B.O.E. (ESCNJ),NNJ Non-Taxable Sales New Jersey (0%),,834 LEONARDVILLE ROAD,MIDDLETOWN,NJ,7737,757,NNJ Non-Taxable Sales New Jersey (0%),No
"MILLER REMICK, LLC",NNY NON-TAXABLE NY (0%),office@miller-remick.com,"1040 North Kings Highway
Suite 700",Cherry Hill,NJ,8034,924,NNY NON-TAXABLE NY (0%),No
"MODULAR DEVICES ACQUISITION, LLC",NNY NON-TAXABLE NY (0%),,1515 BROOKVILLE CROSSING WAY,INDIANAPOLIS,IN,46239,1049,NNY NON-TAXABLE NY (0%),
MONMOUTH COUNTY SPCA,NNJ Non-Taxable Sales New Jersey (0%),,260 WALL STREET,EATONTOWN,NJ,7724,904,NNJ Non-Taxable Sales New Jersey (0%),No
MONMOUTH UNIVERSITY,NNJ Non-Taxable Sales New Jersey (0%),,400 CEDAR AVENUE,WEST LONG BRANCH,NJ,7764,437,NNJ Non-Taxable Sales New Jersey (0%),No
MONTCLAIR BOARD OF EDUCATION (ESCNJ),NNJ Non-Taxable Sales New Jersey (0%),,22 VALLEY ROAD,MONTCLAIR,NJ,7042,439,NNJ Non-Taxable Sales New Jersey (0%),No
MONTGOMERY TOWNSHIP BOE (ESCNJ),NNJ Non-Taxable Sales New Jersey (0%),,1014 ROUTE 601,SKILLMAN,NJ,8558,440,NNJ Non-Taxable Sales New Jersey (0%),No
MONTVALE BOARD OF EDUCATION,NNJ Non-Taxable Sales New Jersey (0%),,47 SPRING VALLEY RD,MONTVALE,NJ,7645,962,NNJ Non-Taxable Sales New Jersey (0%),
MONTVILLE TOWNSHIP B.O.E. (ESCNJ),NNJ Non-Taxable Sales New Jersey (0%),,86 RIVER ROAD,MONTVILLE,NJ,7045,443,NNJ Non-Taxable Sales New Jersey (0%),No
"MORE AIR MECHANICAL SERVICE CO., INC.",,,95-13 ASTORIA BLVD,EAST ELMHURST,NY,11369,983,,
MORRIS CC IV INVESTORS LLC,TNJ NJ SALES TAX (6.625%),,2929 ARCH STREET,PHILADELPHIA,PA,19104,886,TNJ NJ SALES TAX (6.625%),
MORRIS COUNTY SCHOOL OF TECH (ESCNJ),NNJ Non-Taxable Sales New Jersey (0%),,400 EAST MAIN STREET,DENVILLE,NJ,7834,447,NNJ Non-Taxable Sales New Jersey (0%),No
MORRIS HILLS REG. SCHOOL DISTRICT (ESCNJ),NNJ Non-Taxable Sales New Jersey (0%),,48 KNOLL DRIVE,ROCKAWAY,NJ,7866,759,NNJ Non-Taxable Sales New Jersey (0%),No
MORRIS SCHOOL DISTRICT (ESCNJ),NNJ Non-Taxable Sales New Jersey (0%),,31 HAZEL STREET,MORRISTOWN,NJ,7960,974,NNJ Non-Taxable Sales New Jersey (0%),
MORRIS-UNION JOINTURE COMMISSION (ESCNJ),NNJ Non-Taxable Sales New Jersey (0%),,340 CENTRAL AVENUE,NEW PROVIDENCE,NJ,7974,1043,NNJ Non-Taxable Sales New Jersey (0%),
MOUNTAIN LAKES BOARD OF EDUCATION,NNJ Non-Taxable Sales New Jersey (0%),,96 POWERVILLE RD,MOUNTAIN LAKES,NJ,7046,957,NNJ Non-Taxable Sales New Jersey (0%),
MOUNT OLIVE TOWNSHIP SCHOOLS (ESCNJ),NNJ Non-Taxable Sales New Jersey (0%),,277 ROUTE 206,FLANDERS,NJ,7836,448,NNJ Non-Taxable Sales New Jersey (0%),No
MPS MECHANICAL LLC,NNJ Non-Taxable Sales New Jersey (0%),,"706 ROUTE 15 SOUTH, SUITE 206",LAKE HOPATCONG,NJ,7849,450,NNJ Non-Taxable Sales New Jersey (0%),No
MPS SERVICES & MAINTENANCE LLC,NNJ Non-Taxable Sales New Jersey (0%),,"706 ROUTE 15 SOUTH, SUITE 206",LAKE HOPATCONG,NJ,7849,1000,NNJ Non-Taxable Sales New Jersey (0%),
MSM EQUITIES,TNYW NY WESTCHESTER SALES TAX (8.375%),,100 CRYSTAL RUN RD,MIDDLETOWN,NY,10941,878,TNYW NY WESTCHESTER SALES TAX (8.375%),No
NANUET HOLDINGS DE LLC,NYR NY ROCKLAND SALES TAX (8.375%),,"16 SQUADRON BLVD, SUITE 106",NEW CITY,NY,10956,1042,NYR NY ROCKLAND SALES TAX (8.375%),
NATIONAL PLUMBING & HEATING INC.,NNJ Non-Taxable Sales New Jersey (0%),,236 SOUTH 11TH STREET,NEWARK,NJ,7107,454,NNJ Non-Taxable Sales New Jersey (0%),No
NAVAL WEAPONS STATION EARLE,NNJ Non-Taxable Sales New Jersey (0%),,201 NJ-34,COLTS NECK,NJ,7722,455,NNJ Non-Taxable Sales New Jersey (0%),No
"NBCUNIVERSAL MEDIA, LLC",TNYC NYC SALES TAX (8.875%),,"30 ROCKFELLER PLAZA

ectv_facility@nbcuni.com",NEW YORK,NY,10112,456,TNYC NYC SALES TAX (8.875%),No
NEW AMSTERDAM THEATRE,TNYC NYC SALES TAX (8.875%),,214 W 42ND STREET,NEW YORK,NY,10036,457,TNYC NYC SALES TAX (8.875%),No
NEWARK BETH ISRAEL MEDICAL CTR,NNJ Non-Taxable Sales New Jersey (0%),,PO BOX 337,WEST LONG BRANCH,NJ,7764,466,NNJ Non-Taxable Sales New Jersey (0%),Yes
NEW BRUNSWICK PERFORMING ARTS CENTER,NNJ Non-Taxable Sales New Jersey (0%),,"C/O CBRE
65 CHURCH STREET, 2ND FLOOR",New Brunswick,NJ,8901,892,NNJ Non-Taxable Sales New Jersey (0%),
NEW JERSEY CITY UNIVERSITY,NNJ Non-Taxable Sales New Jersey (0%),,2039 John F. Kennedy Boulevard,JERSEY CITY,NJ,07305-1597,848,NNJ Non-Taxable Sales New Jersey (0%),Yes
NEW JERSEY NATIONAL GOLF CLUB,TNJ NJ SALES TAX (6.625%),,579 ALLEN ROAD,BASKING RIDGE,NJ,7920,458,TNJ NJ SALES TAX (6.625%),No
NEW JERSEY SPORTS & EXPOSITION AUTHORITY,TNJ NJ SALES TAX (6.625%),,P.O. BOX 640,LYNDHURST,NJ,7071,460,TNJ NJ SALES TAX (6.625%),No
NEW JERSEY TURNPIKE AUTHORITY (NJTA),NNJ Non-Taxable Sales New Jersey (0%),,PO BOX 5042,WOODBRIDGE,NJ,07095-5042,461,NNJ Non-Taxable Sales New Jersey (0%),Yes
NEW PROVIDENCE BOARD OF EDUCATION (ESCNJ),NNJ Non-Taxable Sales New Jersey (0%),,356 ELKWOOD AVENUE,NEW PROVIDENCE,NJ,7974,1041,NNJ Non-Taxable Sales New Jersey (0%),
"NEW YORK CENTER MANAGEMENT, LLC",TNYC NYC SALES TAX (8.875%),,1210 SECOND AVE.,NEW YORK,NY,10065,463,TNYC NYC SALES TAX (8.875%),Yes
NEW YORK CERTIFIED INTERIOR CORP.,NNY NON-TAXABLE NY (0%),,829 EAST 15TH ST,BROOKLYN,NY,11230,1023,NNY NON-TAXABLE NY (0%),
NEW YORK CITY POLICE PENSION FUND,NNY NON-TAXABLE NY (0%),,"233 BROADWAY, 25TH FLOOR",NEW YORK,NY,10279,1021,NNY NON-TAXABLE NY (0%),
NEW YORK STATE THRUWAY AUTHORITY,NNY NON-TAXABLE NY (0%),,P.O. BOX 189,ALBANY,NY,12201-0189,465,NNY NON-TAXABLE NY (0%),Yes
NINE ON THE HUDSON CONDOMINIUM ASSOC.,TNJ NJ SALES TAX (6.625%),,INC. C/O FIRSTSERVICE RESIDENTIAL,WEST NEW YORK,NJ,7093,469,TNJ NJ SALES TAX (6.625%),Yes
NJMM Services LLC,NNJ Non-Taxable Sales New Jersey (0%),NJMMSERV@GMAIL.COM,419 SADDLE RIVER ROAD,SADDLE BROOK,NJ,7663,738,NNJ Non-Taxable Sales New Jersey (0%),No
NJ REGION AMERICAN RED CROSS,NNJ Non-Taxable Sales New Jersey (0%),,209 FAIRFIELD RD,FAIRFIELD,NJ,7004,959,NNJ Non-Taxable Sales New Jersey (0%),
NOOR-UL-IMAN SCHOOL (ISLAMIC SCHOOL),NNJ Non-Taxable Sales New Jersey (0%),,4137 US 1,MONMOUTH JUNCTION,NJ,8852,470,NNJ Non-Taxable Sales New Jersey (0%),Yes
"NORESCO, LLC",NNY NON-TAXABLE NY (0%),,ATTN: ACCOUNTS PAYABLE,CARNEGIE,PA,15106,471,NNY NON-TAXABLE NY (0%),
NO. ROCKLAND CENTRL SCHOOL DIST (ED DATA),NNY NON-TAXABLE NY (0%),,65 CHAPEL STREET,GARNERVILLE,NY,10923,882,NNY NON-TAXABLE NY (0%),No
NORTH ARLINGTON BOARD OF EDUCATION,NNJ Non-Taxable Sales New Jersey (0%),,222 RIDGE ROAD,NORTH ARLINGTON,NJ,7031,1013,NNJ Non-Taxable Sales New Jersey (0%),
NORTHERN HIGHLANDS REG. HIGH SCHOOL BOE,NNJ Non-Taxable Sales New Jersey (0%),,298 HILLSIDE AVENUE,ALLENDALE,NJ,7401,473,NNJ Non-Taxable Sales New Jersey (0%),Yes
NORTHERN HIGHLANDS REG. H.S. (ESCNJ),NNJ Non-Taxable Sales New Jersey (0%),,298 HILLSIDE AVENUE,ALLENDALE,NJ,7401,472,NNJ Non-Taxable Sales New Jersey (0%),Yes
NORTH PLAINFIELD BOE (ESCNJ),NNJ Non-Taxable Sales New Jersey (0%),,33 MOUNTAIN AVENUE,NORTH PLAINFIELD,NJ,07060-4075,1031,NNJ Non-Taxable Sales New Jersey (0%),
NORTH WARREN REGIONAL BOE (ESCNJ),NNJ Non-Taxable Sales New Jersey (0%),,10 NOE ROAD,BLAIRSTOWN,NJ,7825,745,NNJ Non-Taxable Sales New Jersey (0%),No
NUTLEY BOARD OF EDUCATION (ESCNJ),NNJ Non-Taxable Sales New Jersey (0%),,315 FRANKLIN AVE.,NUTLEY,NJ,7110,477,NNJ Non-Taxable Sales New Jersey (0%),No
NY DEPARTMENT OF TRANSPORTATION,NNY NON-TAXABLE NY (0%),,250 VETERANS MEMORIAL HIGHWAY,HAUPPAUGE,NY,11788,760,NNY NON-TAXABLE NY (0%),No
"NYHC PLUMBING & MECHANICAL, LLC",NNY NON-TAXABLE NY (0%),,21 BAY 3RD ST,ISLIP,NY,11751,931,NNY NON-TAXABLE NY (0%),No
OAKLAND PUBLIC SCHOOLS (ESCNJ),NNJ Non-Taxable Sales New Jersey (0%),,315 RAMAPO VALLEY ROAD,OAKLAND,NJ,7436,480,NNJ Non-Taxable Sales New Jersey (0%),No
OCEAN COUNTY COLLEGE,NNJ Non-Taxable Sales New Jersey (0%),,1 COLLEGE DRIVE,TOMS RIVER,NJ,8753,934,NNJ Non-Taxable Sales New Jersey (0%),Yes
OGDENSBURG BOARD OF EDUCATION,NNJ Non-Taxable Sales New Jersey (0%),,100 MAIN STREET,OGDENSBURG,NJ,7439,935,NNJ Non-Taxable Sales New Jersey (0%),Yes
OLD NAVY,TNYC NYC SALES TAX (8.875%),,"3444 (NEW YORK - MANHATTN)
ON - TIMES SQUARE
1516 BROADWAY,",NEW YORK,NY,10036-4002,919,TNYC NYC SALES TAX (8.875%),Yes
PACE UNIVERSITY,NNY NON-TAXABLE NY (0%),,1 PACE PLAZA,NEW YORK,NY,10038,916,NNY NON-TAXABLE NY (0%),No
PALLADIUM MANAGEMENT,,,"62 West 45th Street
8th Floor",New York,NY,10036,945,,No
PARADISE HARBOR CONDOMINIUM,NYR NY ROCKLAND SALES TAX (8.375%),,C/O STILLMAN MANAGEMENT REALTY CORP.,HARRISON,NY,10528,485,NYR NY ROCKLAND SALES TAX (8.375%),No
